city,marina_number,latitude,longitude,water_capacity,land_capacity,nearby_grocery_stores,nearby_cultural_attractions,nearby_hotels
Санкт-Петербург,1,60.0925733,29.9322169,,,1,1,1
Санкт-Петербург,2,59.9646354,30.2404079,,,4,4,4
Санкт-Петербург,3,60.1873671,29.7010944,,,1,1,1
Санкт-Петербург,4,59.9381407,30.2208133,,,4,5,1
Санкт-Петербург,5,60.0991627,29.9836001,,,1,1,1
Санкт-Петербург,6,59.9089947,29.8111232,,,2,2,2
Санкт-Петербург,7,59.9122938,29.7949272,,,2,2,2
Санкт-Петербург,8,59.9360889,30.2226471,,,3,4,7
Санкт-Петербург,9,59.9380228,30.2212457,,,4,5,1
Санкт-Петербург,10,59.9377477,30.2214923,,,4,3,5
Санкт-Петербург,11,59.977504124834205,30.23786613031215,,,1,1,1
Санкт-Петербург,12,59.86106231622571,30.12601203588618,,,0,0,0
Санкт-Петербург,13,60.08599795580256,29.935390591231624,,,1,1,1
Санкт-Петербург,14,60.09920337427099,29.983658255687732,,,1,1,1
Санкт-Петербург,15,59.95654390720745,30.452356802816304,,,2,2,2
Санкт-Петербург,16,59.892102209997034,29.889458258928496,,,0,2,2
Санкт-Петербург,17,59.98921376733801,29.73596048486796,,,1,1,1
Санкт-Петербург,18,59.995477912654735,29.704330865505316,,,1,2,2
Санкт-Петербург,19,60.04275966616416,29.543069091569542,,,0,0,0
Санкт-Петербург,20,59.86059750656624,30.11470467414722,,,0,0,0
Санкт-Петербург,21,59.968707630672995,30.22457786087652,,,1,1,1
Санкт-Петербург,22,59.97699168939091,30.25222101344889,,,2,1,5
Санкт-Петербург,23,59.97973875,30.241731050000002,,,1,0,1
Санкт-Петербург,24,59.81986334167715,30.575501312944308,,,3,0,3
Санкт-Петербург,25,59.95756843079137,30.23761230494007,,,3,3,3
Санкт-Петербург,26,59.96498445198088,30.237054085252336,,,3,4,4
Санкт-Петербург,27,59.96302765458396,30.243216609205234,,,4,5,5
Санкт-Петербург,28,59.966236535295174,30.24641716250793,,,2,2,2
Санкт-Петербург,29,59.984791091240595,30.164509139965194,,,2,1,0
Санкт-Петербург,30,59.84303685949955,30.49997103215444,,,15,2,1
Санкт-Петербург,31,59.86110898073048,30.04443966991058,,,2,2,2
Санкт-Петербург,32,59.96522372313272,30.244229778122534,,,4,5,5
Санкт-Петербург,33,59.97725896044204,30.244641423209515,,,2,1,1
Санкт-Петербург,34,59.803263283372694,30.603597233528617,,,1,2,1
Санкт-Петербург,35,59.99388871963537,30.174533210869964,,,1,1,1
Санкт-Петербург,36,59.86015883567674,30.10841923453012,,,0,0,0
Санкт-Петербург,37,59.98456006619695,29.802147154234323,,,2,2,2
Санкт-Петербург,38,59.95621794318448,30.261944975899016,,,4,4,4
Санкт-Петербург,39,59.954209049671626,30.278768858832247,,,2,2,2
Санкт-Петербург,40,59.976708349999996,30.2536226,,,1,1,1
